crashid,location,severity_rating5,intersection,alcohol_involved,hazmat_involved,hs_collision_type,crash_type,road_sys_code,road_horiz_align_code,road_grade_code,road_surf_code,surf_cond_code,light_cond_code,environ_cond_code,road_median_code,temp_traffic_zone,posted_speed,first_harmful_event,flg_cell_in_use
02-31-2016-2016-020182,BERGEN-LODI BORO,4,N,N,N,2,2,7,1,4,2,2,1,2,5,1,25,26,N
02-31-2016-B060-2016-02914A,BERGEN-LODI BORO,5,N,N,N,4,2,1,1,4,2,1,1,1,1,1,55,26,N
02-32-2016-16-02035,BERGEN-LYNDHURST TWP,5,N,N,N,4,99,7,1,4,1,1,1,1,5,1,25,11,N
02-33-2016-B060-2016-01906A,BERGEN-MAHWAH TWP,5,N,N,N,4,11,1,0,7,2,1,5,1,3,1,65,5,N
02-33-2016-2016-16250,BERGEN-MAHWAH TWP,4,N,N,N,2,1,2,1,4,2,1,5,1,1,1,55,26,N
02-33-2016-2016-17801,BERGEN-MAHWAH TWP,5,N,N,N,7,11,7,0,0,2,2,6,5,5,1,25,56,N
02-33-2016-B060-2016-04310A,BERGEN-MAHWAH TWP,4,N,N,N,2,6,1,,,1,1,5,1,1,1,,26,N
02-34-2016-I-2016-003023,BERGEN-MAYWOOD BORO,4,Y,N,N,4,11,7,1,4,2,2,1,2,5,1,25,6,N
02-34-2016-I-2016-002894,BERGEN-MAYWOOD BORO,4,Y,N,N,4,3,7,1,4,2,1,1,1,5,1,25,26,N
02-36-2016-16-05279,BERGEN-MONTVALE BORO,4,N,Y,N,4,11,7,1,0,2,1,7,1,5,1,25,5,N
02-36-2016-16-18079,BERGEN-MONTVALE BORO,5,N,N,N,7,11,7,0,4,2,1,1,1,5,1,25,56,N
02-36-2016-16-11018,BERGEN-MONTVALE BORO,4,Y,N,N,2,13,9,1,4,1,1,1,1,5,1,,26,N
02-36-2016-16-11994,BERGEN-MONTVALE BORO,4,N,N,N,1,13,5,1,0,2,1,7,1,5,1,35,22,N
02-38-2016-2016-004543,BERGEN-NEW MILFORD BORO,4,Y,N,N,2,1,5,1,4,2,1,1,1,5,1,25,26,N
02-42-2016-16-01894,BERGEN-OAKLAND BORO,4,N,Y,N,5,14,5,1,4,2,1,7,1,5,1,35,21,N
02-42-2016-B060-2016-03966A,BERGEN-OAKLAND BORO,4,N,N,N,2,2,1,1,4,1,2,1,2,1,1,65,26,N
02-42-2016-16-03251,BERGEN-OAKLAND BORO,4,N,N,N,2,4,5,0,4,2,1,1,1,5,1,35,26,Y
02-44-2016-44-16-07762,BERGEN-ORADELL BORO,4,N,N,N,7,1,5,1,4,2,1,1,1,4,1,25,26,N
02-44-2016-44-16-05328,BERGEN-ORADELL BORO,5,N,N,N,1,13,5,1,4,2,1,6,1,4,1,25,22,N
02-45-2016-I-2016-007335,BERGEN-PALISADES PARK BORO,4,Y,N,N,2,3,7,0,7,2,1,1,1,5,1,25,26,N
02-45-2016-T-16-08,BERGEN-PALISADES PARK BORO,4,N,Y,N,1,13,2,1,4,2,1,7,1,1,1,50,22,N
02-47-2016-BS-16-033665,BERGEN-PARK RIDGE BORO,5,Y,N,N,7,11,5,1,0,2,1,1,1,5,1,35,56,N
02-48-2016-16-03350,BERGEN-RAMSEY BORO,4,Y,N,N,2,3,5,1,7,2,1,1,1,5,1,35,26,N
02-48-2016-16-14555A,BERGEN-RAMSEY BORO,4,N,Y,N,4,11,2,1,4,2,1,6,1,1,1,55,5,N
02-48-2016-16-12071,BERGEN-RAMSEY BORO,4,N,N,N,2,6,5,1,4,2,1,6,1,4,1,35,28,N
02-48-2016-16-05636,BERGEN-RAMSEY BORO,4,N,N,N,4,1,2,1,0,2,1,1,1,1,1,55,26,N
02-50-2016-2016-12070,BERGEN-RIDGEFIELD PARK VILLAGE,4,Y,N,N,1,13,5,1,4,2,2,6,2,,1,25,22,N
02-51-2016-I-2016-008211,BERGEN-RIDGEWOOD VILLAGE,4,N,Y,N,4,10,5,0,0,2,1,6,1,2,1,25,11,N
02-56-2016-16-13464,BERGEN-RUTHERFORD BORO,4,N,Y,N,7,11,2,0,4,2,1,6,1,2,1,40,56,N
02-56-2016-16-20487,BERGEN-RUTHERFORD BORO,4,N,N,N,2,1,2,1,0,2,1,1,1,1,1,55,26,N
02-56-2016-16-23347,BERGEN-RUTHERFORD BORO,4,N,N,N,1,13,5,1,4,2,1,1,1,5,1,25,22,N
02-56-2016-16-15820,BERGEN-RUTHERFORD BORO,4,N,N,N,7,11,2,0,0,2,1,6,1,2,1,55,56,N
02-57-2016-16-05417,BERGEN-SADDLE BROOK TWP,4,N,N,N,7,11,5,1,4,2,1,1,1,5,1,25,56,N
02-57-2016-16-05957,BERGEN-SADDLE BROOK TWP,5,Y,N,N,1,13,2,1,4,2,1,6,1,1,1,50,22,N
02-57-2016-B060-2016-00548A,BERGEN-SADDLE BROOK TWP,5,N,Y,N,3,4,1,1,4,2,1,6,1,1,1,55,26,N
02-58-2016-16-03161,BERGEN-SADDLE RIVER BORO,4,N,N,N,7,11,5,1,4,2,1,5,1,5,1,40,60,N
02-59-2016-I-2016-002163,BERGEN-SOUTH HACKENSACK TWP,4,Y,N,N,2,1,2,1,4,2,1,6,1,1,1,40,26,N
02-60-2016-PD-16-023904,BERGEN-TEANECK TWP,5,Y,N,N,1,13,5,1,4,2,1,1,1,5,1,25,22,N
02-60-2016-PD-16-042020,BERGEN-TEANECK TWP,5,N,N,N,1,13,5,1,4,2,1,1,1,5,,35,22,N
02-60-2016-PD-16-042379,BERGEN-TEANECK TWP,4,N,Y,N,4,11,5,1,4,2,1,7,1,5,1,30,5,N
02-60-2016-PD-16-008691,BERGEN-TEANECK TWP,4,N,Y,N,2,6,7,1,4,2,1,1,1,5,1,25,26,N
02-60-2016-PD-16-042409,BERGEN-TEANECK TWP,5,Y,N,N,7,3,5,1,0,2,1,1,1,,1,35,26,N
02-60-2016-B060-2016-04180A,BERGEN-TEANECK TWP,4,N,N,N,2,11,1,1,4,2,1,1,1,1,1,,26,N
02-60-2016-PD-16-006454,BERGEN-TEANECK TWP,4,N,Y,N,7,11,7,1,4,2,1,6,1,5,1,30,56,N
02-60-2016-PD-16-005007,BERGEN-TEANECK TWP,4,Y,N,N,1,13,5,1,4,2,1,2,1,5,1,35,22,N
02-61-2016-A2016-333,BERGEN-TENAFLY BORO,5,N,N,N,1,13,5,1,0,2,1,7,1,5,1,50,22,N
02-62-2016-T-16-29,BERGEN-TETERBORO BORO,5,N,N,N,1,13,2,1,4,2,1,2,1,3,1,50,22,N
02-65-2016-WG-16-06981,BERGEN-WALLINGTON BORO,4,N,N,N,2,4,5,0,4,2,1,5,1,5,1,25,26,N
02-65-2016-WG-16-09017,BERGEN-WALLINGTON BORO,4,Y,N,N,2,6,7,1,4,2,1,1,1,5,1,25,28,N
02-65-2016-WG-16-00429,BERGEN-WALLINGTON BORO,5,N,N,N,7,11,9,1,4,2,1,6,1,99,1,,46,N
02-66-2016-2016-001600/57-16,BERGEN-WASHINGTON TWP,4,N,N,Y,7,11,5,0,7,2,1,1,1,5,1,36,56,N
02-66-2016-2016-001500/57-16,BERGEN-WASHINGTON TWP,4,N,N,Y,7,11,5,0,7,2,1,1,1,5,1,35,56,N
02-66-2016-I-2016-001500/57-16,BERGEN-WASHINGTON TWP,4,N,N,Y,7,11,5,0,7,2,1,1,1,5,1,35,56,N
02-69-2016-16-17321,BERGEN-WOOD-RIDGE BORO,5,N,N,N,1,13,2,1,4,2,1,6,1,1,1,50,22,N
02-68-2016-E040-2016-02698A,BERGEN-WOODCLIFF LAKE BORO,5,N,Y,N,4,11,3,1,0,2,1,1,1,3,1,65,6,N
02-68-2016-16-081,BERGEN-WOODCLIFF LAKE BORO,4,N,N,N,1,6,5,1,4,2,1,1,1,5,1,40,22,N
02-68-2016-E040-2016-00601A,BERGEN-WOODCLIFF LAKE BORO,5,N,N,N,4,11,3,0,4,2,1,1,1,3,1,55,5,N
02-70-2016-3652-16,BERGEN-WYCKOFF TWP,4,Y,N,N,2,4,5,1,4,2,1,1,1,5,1,30,26,N
03-01-2016-C120-2016-00071A,BURLINGTON-BASS RIVER TWP,5,N,N,N,4,99,2,0,4,2,1,1,1,5,1,50,7,N
03-01-2016-C120-2016-00134A,BURLINGTON-BASS RIVER TWP,5,N,N,N,4,11,2,1,4,2,1,7,1,5,1,50,5,N
03-02-2016-2016-2042,BURLINGTON-BEVERLY CITY,4,N,N,N,1,13,7,1,0,2,1,5,1,5,1,25,22,N
03-04-2016-C020-2016-00487A,BURLINGTON-BORDENTOWN TWP,5,N,N,N,4,11,1,0,4,2,1,7,1,1,1,65,6,N
03-04-2016-D020-2016-00125A,BURLINGTON-BORDENTOWN TWP,4,N,N,N,7,11,3,0,4,2,1,1,1,1,1,30,48,N
03-04-2016-2016-1606,BURLINGTON-BORDENTOWN TWP,4,N,N,N,7,11,2,1,4,2,1,7,1,1,1,50,56,N
03-04-2016-2016-8685,BURLINGTON-BORDENTOWN TWP,5,N,N,N,2,2,7,1,4,2,1,6,1,5,1,40,26,N
03-05-2016-2016-6255,BURLINGTON-BURLINGTON CITY,5,Y,Y,N,2,6,2,0,4,1,2,6,2,5,1,40,28,N
03-05-2016-2016-09917,BURLINGTON-BURLINGTON CITY,5,N,N,N,1,13,2,1,4,2,1,5,1,3,,45,22,N
03-05-2016-2016-10940,BURLINGTON-BURLINGTON CITY,4,Y,N,N,2,1,2,1,4,2,1,1,1,3,,45,26,N
03-05-2016-2016-10933,BURLINGTON-BURLINGTON CITY,4,N,Y,N,7,11,2,0,4,2,1,5,1,3,1,40,56,N
03-06-2016-C020-2016-00505A,BURLINGTON-BURLINGTON TWP,4,N,Y,N,4,11,1,1,4,2,1,6,1,1,1,65,5,N
03-06-2016-2016-13032,BURLINGTON-BURLINGTON TWP,4,N,N,N,2,3,2,1,0,2,1,7,1,2,1,50,28,N
03-06-2016-2016-13030,BURLINGTON-BURLINGTON TWP,4,Y,N,N,7,4,2,1,0,2,1,7,1,2,1,50,26,N
03-06-2016-2016-13368,BURLINGTON-BURLINGTON TWP,4,N,N,N,1,13,9,0,7,2,1,6,1,5,1,25,22,N
03-07-2016-2016-1495,BURLINGTON-CHESTERFIELD TWP,5,N,N,N,7,11,7,0,4,2,1,6,1,4,1,35,61,N
